Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
17-05-2018,The Professor,15.595,819,6.8,"['Comedy', 'Drama']",Medium,2018
08-02-1985,Witness,15.594,1216,7.1,"['Crime', 'Drama', 'Romance', 'Thriller']",High,1985
23-11-2001,Diary of a Sex Addict,15.593,21,5.4,['Drama'],Medium,2001
01-10-2010,Robot,15.59,152,6.5,"['Action', 'ScienceFiction', 'Fantasy']",Medium,2010
16-02-2012,Thale,15.59,111,5.4,"['Horror', 'Fantasy']",Medium,2012
12-06-1963,Donovan's Reef,15.59,98,6.2,"['Adventure', 'Comedy', 'Romance']",Medium,1963
12-04-2001,Crocodile Dundee in Los Angeles,15.59,474,5.2,"['Adventure', 'Comedy']",Medium,2001
16-12-1999,Any Given Sunday,15.588,1306,6.8,['Drama'],Medium,1999
10-05-1999,Pirates of Silicon Valley,15.588,409,7.1,['Drama'],High,1999
26-07-1996,The Adventures of Pinocchio,15.587,183,5.3,"['Family', 'Fantasy', 'Adventure', 'Drama', 'Music']",Medium,1996
30-01-2019,Serial (Bad) Weddings 2,15.583,1048,5.9,['Comedy'],Medium,2019
09-09-1982,Violence in a Women's Prison,15.582,21,4.7,"['Action', 'Thriller']",Low,1982
24-03-2009,Ace Ventura Jr: Pet Detective,15.582,135,3.4,"['Comedy', 'Family', 'Adventure', 'Crime']",Low,2009
18-12-1992,Leap of Faith,15.582,157,5.7,"['Comedy', 'Drama', 'Romance']",Medium,1992
